KELOMPOK,KODE,KETERANGAN,ID_BAHAN,KOEFISIEN
b. Upah,SNI-A.6.13,LANTAI 1,L.008,6.667
b. Upah,SNI-A.6.13,LANTAI 1,L.010,0.333
b. Upah,SNI-A.6.14,LANTAI 1,L.008,6.667
b. Upah,SNI-A.6.14,LANTAI 1,L.010,0.033
b. Upah,SNI-B.6.1,LANTAI 1,L.008,0.4
b. Upah,SNI-B.6.1,LANTAI 1,L.010,0.04
b. Upah,SNI-B.6.2,LANTAI 1,L.010,0.052
b. Upah,SNI-B.6.2,LANTAI 1,L.008,0.526
b. Upah,SNI-B.6.3,LANTAI 1,L.010,0.073
b. Upah,SNI-B.6.3,LANTAI 1,L.008,0.735
b. Upah,SNI-B.6.4,LANTAI 1,L.010,0.062
b. Upah,SNI-B.6.4,LANTAI 1,L.008,0.625
b. Upah,SNI-B.6.10,LANTAI 1,L.008,0.5
b. Upah,SNI-B.6.10,LANTAI 1,L.010,0.05
b. Upah,SNI-B.6.7,LANTAI 1,L.008,0.05
b. Upah,SNI-B.6.7,LANTAI 1,L.010,0.005
b. Upah,SNI-B.6.8,LANTAI 1,L.008,0.516
b. Upah,SNI-B.6.8,LANTAI 1,L.010,0.05
b. Upah,SNI-B.6.9,LANTAI 1,L.008,0.192
b. Upah,SNI-B.6.9,LANTAI 1,L.010,0.019
a. Bahan,SNI-B.6.11,LANTAI 1,M.001b,1.2
b. Upah,SNI-B.6.11,LANTAI 1,L.008,0.3
b. Upah,SNI-B.6.11,LANTAI 1,L.010,0.01
a. Bahan,SNI-B.6.14,LANTAI 1,M.001o,1.2
b. Upah,SNI-B.6.14,LANTAI 1,L.008,0.15
b. Upah,SNI-B.6.14,LANTAI 1,L.010,0.015
a. Bahan,SNI-B.6.15,LANTAI 1,M.001e,1.2
b. Upah,SNI-B.6.15,LANTAI 1,L.008,0.25
b. Upah,SNI-B.6.15,LANTAI 1,L.010,0.025
a. Bahan,SNI-C.6.5,LANTAI 1,M.001f1,1.1
a. Bahan,SNI-C.6.5,LANTAI 1,M.002a,163
a. Bahan,SNI-C.6.5,LANTAI 1,M.001a,0.52
b. Upah,SNI-C.6.5,LANTAI 1,L.008,1.5
b. Upah,SNI-C.6.5,LANTAI 1,L.001,0.6
b. Upah,SNI-C.6.5,LANTAI 1,L.007,0.06
b. Upah,SNI-C.6.5,LANTAI 1,L.010,0.075
b. Upah,SNI-C.6.12,LANTAI 1,L.010,0.075
b. Upah,SNI-C.6.12,LANTAI 1,L.007,0.06
b. Upah,SNI-C.6.12,LANTAI 1,L.001,0.6
b. Upah,SNI-C.6.12,LANTAI 1,L.008,1.5
a. Bahan,SNI-C.6.12,LANTAI 1,M.001a,0.492
a. Bahan,SNI-C.6.12,LANTAI 1,M.002a,61
a. Bahan,SNI-C.6.12,LANTAI 1,M.001f1,1.1
b. Upah,SNI-C.6.6,LANTAI 1,L.010,0.075
b. Upah,SNI-C.6.6,LANTAI 1,L.007,0.06
b. Upah,SNI-C.6.6,LANTAI 1,L.001,0.6
b. Upah,SNI-C.6.6,LANTAI 1,L.008,1.5
a. Bahan,SNI-C.6.6,LANTAI 1,M.001a,0.544
a. Bahan,SNI-C.6.6,LANTAI 1,M.002a,136
a. Bahan,SNI-C.6.6,LANTAI 1,M.001f1,1.1
a. Bahan,SNI-C.6.12,LANTAI 1,M.001d,0.147
a. Bahan,SNI-C.6.14,LANTAI 1,M.001f1,1.2
